pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164484,MCCACAIVAXEFAL-UHFFFAOYSA-N,Miconazole nitrate,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O[N+](=O)[O-],mic_confirmado,False,6.12,,False,True,,,,4.2718,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164884,PJLVTVAIERNDEQ-BTJKTKAUSA-N,Irsogladine maleate,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl.OC(=O)/C=C\C(=O)O,solo_cribado,False,5.85,,False,False,,,,4.2696,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164488,XLBIBBZXLMYSFF-UHFFFAOYSA-M,Propantheline bromide,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc12)C(C)C.[Br-],solo_cribado,False,18.08,,False,False,,,,4.2694,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164783,JRRNZNSGDSFFIR-UHFFFAOYSA-M,Mepenzolate bromide,C[N+]1(C)CCCC(C1)OC(=O)C(O)(c1ccccc1)c1ccccc1.[Br-],solo_cribado,False,9.6,,True,False,,,,4.2693,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164466,VLARUOGDXDTHEH-UHFFFAOYSA-L,Cromolyn sodium,OC(COc1cccc2oc(cc(=O)c12)C(=O)[O-])COc3cccc4oc(cc(=O)c34)C(=O)[O-].[Na+].[Na+],solo_cribado,False,6.64,,False,False,,,,4.2671,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164435,OYFJQPXVCSSHAI-BMSLDGIRSA-N,Enalapril maleate,CCOC(=O)[C@@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O.OC(=O)/C=C\C(=O)O,solo_cribado,False,10.36,,False,False,,,,4.263,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164580,AQTQHPDCURKLKT-PNYVAJAMSA-N,Vincristine sulfate,CC[C@]1(O)C[C@@H]2CN(C1)CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@@H]7[C@@]86CCN9CC=C[C@](CC)([C@H]98)[C@@H](OC(=O)C)[C@]7(O)C(=O)OC.OS(=O)(=O)O,solo_cribado,False,3.74,,False,False,,,,4.262,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164782,FEBLZLNTKCEFIT-VSXGLTOVSA-N,Fluocinolone acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,solo_cribado,False,-0.92,,False,False,,,,4.2594,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0164732,FRQMUZJSZHZSGN-HBNHAYAOSA-N,Medroxyprogesterone,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(C)=O)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,solo_cribado,False,2.71,,False,False,,,,4.2581,concordancia_negativa
Klebsiella pneumoniae,A_coleccion_clinica,CO-ADD:0165054,YNDXUCZADRHECN-JNQJZLCISA-N,Triamcinolone acetonide,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,solo_cribado,False,14.59,,False,False,,,,4.2575,concordancia_negativa
