pathogen,screen,compound_id,inchikey,compound_name,smiles,evidence_level,is_hit_real,inhib_ave,px_real,in_dti_test_split,seen_in_training,source_pathogen,source_px,notes,pred_pmic,bucket
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164607,QYRYFNHXARDNFZ-UHFFFAOYSA-N,Venlafaxine hydrochloride,COc1ccc(cc1)C(CN(C)C)C1(O)CCCCC1.Cl,solo_cribado,False,11.05,,False,False,,,,3.8201,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164552,ODUOJXZPIYUATO-UHFFFAOYSA-N,Racecadotril,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,solo_cribado,False,11.06,,False,False,,,,3.8198,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164878,UNAANXDKBXWMLN-UHFFFAOYSA-N,Sibutramine,CC(C)CC(N(C)C)C1(CCC1)c1ccc(Cl)cc1,solo_cribado,False,6.77,,False,False,,,,3.8192,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164881,BUJAGSGYPOAWEI-UHFFFAOYSA-N,Tocainide,CC(N)C(=O)Nc1c(C)cccc1C,solo_cribado,False,15.76,,False,False,,,,3.8192,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164518,KFYRPLNVJVHZGT-UHFFFAOYSA-N,Amitriptyline hydrochloride,CN(C)CCC=C1c2ccccc2CCc2ccccc12.Cl,solo_cribado,False,10.05,,False,False,,,,3.8186,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164421,JCKYGMPEJWAADB-UHFFFAOYSA-N,Chlorambucil,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,solo_cribado,False,5.1,,False,False,,,,3.8182,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164823,METKIMKYRPQLGS-UHFFFAOYSA-N,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,solo_cribado,False,6.08,,False,False,,,,3.8135,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164938,MEAHDXWXNNDSAK-UHFFFAOYSA-N,Bifemelane hydrochloride,CNCCCCOc1ccccc1Cc1ccccc1.Cl,solo_cribado,False,15.72,,False,False,,,,3.8107,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165063,JWHAUXFOSRPERK-UHFFFAOYSA-N,Propafenone,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,solo_cribado,False,13.87,,False,False,,,,3.8102,concordancia_negativa
Acinetobacter baumannii,B_transferencia_entre_patogenos,CHEMBL301523,COLNVLDHVKWLRT-QMMMGPOBSA-N,PHENYLALANINE,N[C@@H](Cc1ccccc1)C(=O)O,sin_medida,False,,,False,False,Klebsiella pneumoniae,5.221848749616356,,3.8099,hipotesis_transferencia
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164896,ANOUKFYBOAKOIR-UHFFFAOYSA-N,Homoveratrylamine,COc1ccc(CCN)cc1OC,solo_cribado,False,4.73,,False,False,,,,3.8092,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164766,OFZCIYFFPZCNJE-UHFFFAOYSA-N,Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,solo_cribado,False,10.55,,False,False,,,,3.8082,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164449,AEUTYOVWOVBAKS-UHFFFAOYSA-N,Ethambutol,CCC(CO)NCCNC(CC)CO,solo_cribado,False,12.6,,False,False,,,,3.807,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164727,CTRLABGOLIVAIY-UHFFFAOYSA-N,Oxcarbazepine,NC(=O)N1c2ccccc2CC(=O)c2ccccc12,solo_cribado,False,18.9,,False,False,,,,3.8069,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164471,TZFWDZFKRBELIQ-UHFFFAOYSA-N,Chlorzoxazone,Oc1nc2cc(Cl)ccc2o1,solo_cribado,False,11.39,,False,False,,,,3.8066,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0165007,BJPJNTKRKALCPP-UHFFFAOYSA-N,Prilocaine hydrochloride,CCCNC(C)C(=O)Nc1ccccc1C.Cl,solo_cribado,False,14.94,,False,False,,,,3.806,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164371,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,Resveratrol,Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1,solo_cribado,False,10.36,,False,False,,,,3.8053,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164953,NRNCYVBFPDDJNE-UHFFFAOYSA-N,Pemolide,NC1=NC(=O)C(O1)c1ccccc1,solo_cribado,False,19.66,,False,False,,,,3.8053,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164428,FFGPTBGBLSHEPO-UHFFFAOYSA-N,Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc12,solo_cribado,False,9.78,,False,False,,,,3.8034,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164707,HPHUVLMMVZITSG-LURJTMIESA-N,Levetiracetam,CC[C@H](N1CCCC1=O)C(N)=O,solo_cribado,False,44.54,,False,False,,,,3.8034,concordancia_negativa
Acinetobacter baumannii,A_coleccion_clinica,CO-ADD:0164670,BNQSTAOJRULKNX-UHFFFAOYSA-N,Hexamethylenebisacetamide,CC(=O)NCCCCCCNC(C)=O,solo_cribado,False,3.02,,False,False,,,,3.8016,concordancia_negativa
